column,dtype,non_null,missing,missing_pct,mean,std,min,p50,p95,p99,max,unique,top_values
op_unique_carrier,category,7079080,0,0.0,,,,,,,,15.0,WN:1419419; DL:1009194; AA:984306; UA:760451; OO:744658
op_carrier_fl_num,float64,7079079,1,0.0,2504.6227127850952,1652.2525255151738,1.0,2227.0,5497.0,5952.0,8819.0,,
origin,category,7079080,0,0.0,,,,,,,,348.0,ATL:341910; DFW:313582; DEN:308645; ORD:280052; CLT:217574
origin_city_name,category,7079080,0,0.0,,,,,,,,342.0,"Chicago, IL:359685; Atlanta, GA:341910; Dallas/Fort Worth, TX:313582; Denver, CO:308645; New York, NY:285780"
origin_state_nm,category,7079080,0,0.0,,,,,,,,52.0,Texas:751839; California:741984; Florida:629206; Illinois:373672; Georgia:368394
dest,category,7079080,0,0.0,,,,,,,,348.0,ATL:341844; DFW:313568; DEN:308609; ORD:280009; CLT:217545
dest_city_name,category,7079080,0,0.0,,,,,,,,342.0,"Chicago, IL:359640; Atlanta, GA:341844; Dallas/Fort Worth, TX:313568; Denver, CO:308609; New York, NY:285804"
dest_state_nm,category,7079080,0,0.0,,,,,,,,52.0,Texas:751859; California:741968; Florida:629235; Illinois:373624; Georgia:368328
carrier_origin_pair,category,7079080,0,0.0,,,,,,,,1738.0,DL_ATL:227628; AA_DFW:166286; AA_CLT:126484; UA_DEN:101967; WN_DEN:96614
day_of_month,int64,7079080,0,0.0,15.78445235821604,8.786432657899566,1.0,16.0,29.0,31.0,31.0,,
day_of_week,int64,7079080,0,0.0,3.9819448289890778,2.0122794531998327,1.0,4.0,7.0,7.0,7.0,,
fl_date,object,7079080,0,0.0,,,,,,,,366.0,2024-12-01:21764; 2024-10-11:21548; 2024-10-10:21539; 2024-10-14:21502; 2024-10-17:21496
crs_dep_time,float64,7079080,0,0.0,1327.2996728388434,493.03049065521435,1.0,1320.0,2124.0,2255.0,2359.0,,
dep_hour,int8,7079080,0,0.0,13.003834255298711,4.900544490841365,0.0,13.0,21.0,22.0,23.0,,
crs_arr_time,float64,7079080,0,0.0,1491.364957734621,519.4384384211081,1.0,1517.0,2257.0,2355.0,2359.0,,
arr_hour,int8,7079080,0,0.0,14.616533080569791,5.1877763663302,0.0,15.0,22.0,23.0,23.0,,
crs_elapsed_time,float64,7079079,1,0.0,146.7664454655754,72.3869026680999,-160.0,130.0,305.0,375.0,1326.0,,
distance,float64,7079080,0,0.0,833.9059071235246,596.2532847916278,11.0,680.0,2174.0,2611.0,5095.0,,
is_weekend,int8,7079080,0,0.0,0.27665953768003754,0.4473466957067899,0.0,0.0,1.0,1.0,1.0,,
dep_hour_bin,int8,7079080,0,0.0,2.052008594337117,0.9508171829439337,0.0,2.0,4.0,4.0,4.0,,
arr_delay,float64,6965266,113814,1.61,7.0982490833803045,57.99127387419791,-126.0,-6.0,83.0,215.0,3803.0,,
is_late,Int8,7079080,0,0.0,0.20482492075241415,0.40357365572922127,0.0,0.0,1.0,1.0,1.0,,
